uid,perc_repeat_7,gender,age_group,regions_us
615,0.44285714285714284,Female,18-44,NA
616,0.3629737609329446,Female,18-44,South
617,0.42016806722689076,Female,18-44,NA
618,0.7565130260521042,Female,18-44,Northeast
619,0.043478260869565216,Female,18-44,NA
621,0.32989690721649484,NA,NA,NA
622,0.3804347826086957,Female,18-44,Midwest
624,0.25,Female,18-44,Midwest
625,0.13725490196078433,Female,18-44,West
626,0.4384057971014493,Male,18-44,Northeast
628,0.6271186440677966,Female,18-44,South
629,0.23376623376623376,NA,NA,NA
631,0.477088948787062,Female,18-44,Northeast
632,0.1794871794871795,Female,45+,South
634,0.6485568760611206,NA,NA,NA
637,0.20689655172413793,Female,18-44,Midwest
638,0.5080645161290323,Female,18-44,Midwest
639,0.3384615384615385,Female,18-44,South
640,0.25,NA,NA,NA
641,0.14285714285714285,Female,18-44,South
642,0.3850746268656716,Male,18-44,South
643,0.44816053511705684,Female,18-44,NA
644,0.4635678391959799,Female,18-44,NA
645,0.4610169491525424,Female,18-44,West
646,0.573943661971831,Female,18-44,Midwest
647,0.5266666666666666,Female,18-44,NA
648,0.20388349514563106,Female,18-44,South
649,0.40860215053763443,Male,45+,West
650,0.3068181818181818,NA,NA,NA
651,0.916151572158022,Male,45+,South
652,0.4521193092621664,Female,18-44,West
653,0.639386189258312,Female,18-44,NA
654,0.2653061224489796,Female,45+,Midwest
655,0.4503311258278146,Female,18-44,Northeast
656,0.06060606060606061,Female,18-44,South
658,0.109375,Female,18-44,South
659,0.6407766990291263,Female,18-44,NA
660,0.0425531914893617,Male,45+,South
661,0.2731707317073171,Female,18-44,South
662,0.03125,Male,18-44,NA
663,0.19444444444444445,Male,45+,South
664,0.41044776119402987,NA,NA,NA
665,0.43103448275862066,Male,18-44,NA
666,0.5061728395061729,Female,18-44,NA
667,0.5764854614412137,Female,18-44,NA
668,0.047619047619047616,Female,18-44,Midwest
669,0.5298507462686567,NA,NA,NA
670,0.0,NA,NA,NA
671,0.43352601156069365,Male,18-44,West
672,0.4117647058823529,Female,18-44,South
673,0.16993464052287582,NA,NA,NA
674,0.1388888888888889,Female,18-44,Midwest
675,0.4528301886792453,Female,18-44,Northeast
676,0.28205128205128205,Female,18-44,West
677,0.4186046511627907,Female,45+,Northeast
678,0.1875,Female,18-44,South
682,0.2897196261682243,Female,18-44,NA
683,0.3434343434343434,Female,18-44,NA
686,0.27906976744186046,Female,18-44,NA
687,0.3616298811544992,Female,45+,NA
688,0.3,Female,45+,Midwest
689,0.47761194029850745,Female,18-44,South
690,0.7559661277906081,Female,18-44,Northeast
691,0.41216216216216217,Female,45+,Midwest
692,0.43953488372093025,Female,18-44,NA
693,0.3230769230769231,Male,45+,West
696,0.30434782608695654,NA,NA,NA
698,0.3898305084745763,Female,45+,Northeast
700,0.2823529411764706,Male,45+,South
701,0.6072094468614045,NA,NA,NA
703,0.4608695652173913,Female,18-44,South
704,0.31958762886597936,Female,18-44,Midwest
705,0.49645390070921985,Male,18-44,NA
706,0.1951219512195122,Female,18-44,South
707,0.636849132176235,Female,18-44,Northeast
708,0.2622309197651663,Female,18-44,South
709,0.12857142857142856,Female,18-44,Northeast
710,0.591225626740947,Female,18-44,South
711,0.4695121951219512,Female,18-44,West
712,0.7986501687289089,Female,45+,Midwest
714,0.4755134281200632,Female,18-44,South
715,0.07407407407407407,Female,18-44,South
718,0.34824281150159747,NA,NA,NA
719,0.6938775510204082,Female,18-44,NA
724,0.4648648648648649,Female,18-44,South
725,0.4774774774774775,Female,18-44,NA
727,0.6897865853658537,Female,18-44,NA
728,0.33714880332986474,Male,18-44,NA
729,0.24653739612188366,Female,18-44,South
730,0.30128205128205127,Male,18-44,West
731,0.49586776859504134,Male,18-44,West
732,0.31175693527080584,Female,18-44,South
