uid,Model,nDCG@5,Gender,US Regions,Age Groups
612,Mixture Decay,0.5343760546794377,Female,South,45+
613,Mixture Decay,0.5570819896007162,Male,,18-44
614,Mixture Decay,0.7002976381081053,Female,Midwest,18-44
615,Mixture Decay,0.3232129998677042,Female,,18-44
616,Mixture Decay,0.3394762361994516,Female,South,18-44
617,Mixture Decay,0.4280603396987373,Female,,18-44
618,Mixture Decay,0.6616847283619806,Female,Northeast,18-44
621,Mixture Decay,0.2544258768759937,,,
622,Mixture Decay,0.3302291543251221,Female,Midwest,18-44
624,Mixture Decay,0.3813288486146608,Female,Midwest,18-44
625,Mixture Decay,0.29367526568087066,Female,West,18-44
626,Mixture Decay,0.5289217781288155,Male,Northeast,18-44
628,Mixture Decay,0.7662857631895609,Female,South,18-44
629,Mixture Decay,0.5167806810692241,,,
631,Mixture Decay,0.5672537854290075,Female,Northeast,18-44
632,Mixture Decay,0.2750521198985535,Female,South,45+
634,Mixture Decay,0.7316896330594866,,,
637,Mixture Decay,0.25148369664980563,Female,Midwest,18-44
638,Mixture Decay,0.7749262944818545,Female,Midwest,18-44
639,Mixture Decay,0.1639292334876046,Female,South,18-44
640,Mixture Decay,0.31309032246474844,,,
641,Mixture Decay,0.3044003615284592,Female,South,18-44
642,Mixture Decay,0.2943258299662848,Male,South,18-44
643,Mixture Decay,0.4897334673373593,Female,,18-44
644,Mixture Decay,0.40909791277549995,Female,,18-44
645,Mixture Decay,0.5746474543445036,Female,West,18-44
646,Mixture Decay,0.5582739409610127,Female,Midwest,18-44
647,Mixture Decay,0.7446565648064285,Female,,18-44
648,Mixture Decay,0.2327355607593696,Female,South,18-44
649,Mixture Decay,0.6336724637653514,Male,West,45+
650,Mixture Decay,0.3974222351716733,,,
651,Mixture Decay,0.946433495655271,Male,South,45+
652,Mixture Decay,0.4342844011079656,Female,West,18-44
